ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
736390,978-5-389-07987-8,Роулинг Дж. К.,А0000007898,,21.04.2014,295 гр.,,2014,,Азбука; Азбука-Аттикус,,,736390,СПб,,Случайная вакансия.,True,/image/book/460/w259/i460122.jpg,,,Петрова Е.,,180x115,0,,608,Мягкая обложка,15000 экз.,,75х100 1/32,,,английский,русский
737035,978-5-389-07781-2,Роулинг Дж. К.,А0000007867,,25.04.2014,515 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,737035,Москва,,Гарри Поттер и Тайная комната.,True,/image/book/460/w259/i460421.jpg,,,Спивак М.,,200x130,0,,480,Твердый переплет,30000 экз.,,84х108 1/32,,,английский,русский
738931,5-02-028-255-3,Достоевский Ф. М.,17607,,07.05.2014,810 гр.,,1996,,Наука,,,738931,СПб,,Собрание сочинений. В 30 томах. Том 15. Письма 1834-1881. Достоевский Ф. М.,True,/image/book/461/w259/i461334.jpg,,,,,200x130,0,,862,Твердый переплет,18000 экз.,,84х108 1/32,,,,русский
739253,978-5-389-07838-3,Фицджеральд Ф. С.,А0000007941,,08.05.2014,235 гр.,,2014,,Азбука; Азбука-Аттикус,,,739253,СПб,,Прекрасные и проклятые. Фицджеральд Ф. С.,True,/image/book/461/w259/i461412.jpg,,,Щенникова В.,,180x115,0,,480,Мягкая обложка,7000 экз.,,75х100 1/32,,,английский,русский
747850,978-5-389-07788-1,Роулинг Дж. К.,А0000008337,,03.07.2014,560 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,747850,Москва,,Гарри Поттер и узник Азкабана.,True,/image/book/466/w259/i466300.jpg,,,Спивак М.,,200x130,0,,528,Твердый переплет,30000 экз.,,84х108 1/32,,,английский,русский
754387,978-5-17-087268-8,Фрай М.,AST000000000170254,,19.08.2014,420 гр.,,2014,,АСТ,,,754387,Москва,,Мастер ветров и закатов. Фрай М.,True,/image/book/471/w259/i471085.jpg,,,,,200x130,0,,384,Твердый переплет,33000 экз.,,84х108 1/32,,,,русский
755698,978-5-699-74295-0,Роллинс Дж.,ITD000000000343237,,26.08.2014,375 гр.,,2014,,Эксмо,,,755698,Москва,,Кровавое Евангелие. Роллинс Дж.,True,/image/book/472/w259/i472164.jpg,,,Вейсберг Ю.,,165x120,0,,800,Мягкая обложка,7000 экз.,,70х100 1/32,,,английский,русский
758869,978-5-389-08684-5,Фицджеральд Ф. С.,А0000008651,,11.09.2014,180 гр.,,2014,,Азбука; Азбука-Аттикус,,,758869,СПб,,Три часа между рейсами. Фицджеральд Ф. С.,True,/image/book/474/w259/i474122.jpg,,,Дорогокупля В.,,180x115,0,,368,Мягкая обложка,5000 экз.,,75х100 1/32,,,английский,русский
763253,978-5-389-07789-8,Роулинг Дж. К.,А0000008817,,08.10.2014,610 гр.,11 +,2015,,Махаон; Азбука-Аттикус,,,763253,Москва,,Гарри Поттер и Кубок Огня.,True,/image/book/477/w259/i477099.jpg,,,Спивак М.,,200x130,0,,704,Твердый переплет,30000 экз.,,84х108 1/32,,,английский,русский
764719,978-5-17-087266-4,Фрай М.,AST000000000173740,,18.10.2014,585 гр.,,2015,,АСТ,,,764719,Москва,,Чужак. Фрай М.,True,/image/book/478/w259/i478257.jpg,,,,,200x130,0,,640,Твердый переплет,5000 экз.,,84х108 1/32,,,,русский
